distance_miles,name,business_type,phone,website,email,opening_hours,location,latitude,longitude,quality_score,source
0.79,AutoZone,Car Parts,+12194655980,https://www.autozone.com/locations/in/valparaiso.html,N/A,Mo-Sa 07:30-22:00; Su 08:00-21:00,"1010 Calumet Avenue, Valparaiso",41.477797,-87.054863,100,way:1180114822
0.81,Taco Bell,Fast Food,+12194657774,https://locations.tacobell.com/in/valparaiso/1808-calumet.html,N/A,"Mo, We-Sa 08:00-01:00; Su 08:00-00:00; Tu 08:00-21:45","1808 North Calumet Avenue, Valparaiso",41.485085,-87.050605,100,way:458148067
0.81,Valparaiso Parks and Recreation Department Administrative Office,Government,+12194625144,https://www.valpoparks.org/279/Administration-Office,N/A,Mo-Fr 08:00-17:00,3210 North Campbell Street,41.497118,-87.063615,100,node:11098753961
0.82,BoyConn Printers,Copyshop,+12194622665,https://boyconn.com,projects@boyconn.com,Mo-Fr 08:00-17:30,"803 East Glendale Boulevard, Valparaiso",41.485581,-87.050426,100,way:1098424756
0.82,Velero's,Restaurant,+12196153915,https://velerosmexicanfood.com,N/A,"Tu-Th, Su 11:00-21:00; Fr, Sa 11:00-22:00","902 Calumet Avenue, Valparaiso",41.476459,-87.056016,100,node:9998390551
0.82,Kosmos,Fast Food,+12195488400,https://facebook.com/Kosmos-Restaurant-498348673660333/,N/A,"Mo-Fr 06:00-15:00; Sa, Su 07:00-15:00","2007 Calumet Avenue, Valparaiso",41.487087,-87.050420,100,way:1099747552
0.84,Community Garden,Farm,N/A,https://valpoparks.org/622/Community-Garden,N/A,N/A,"41.497400, -87.063257",41.497400,-87.063257,25,node:11098784320
0.84,Arby's,Fast Food,+12194644147,https://www.arbys.com/locations/us/in/valparaiso/2101-n-calumet-ave/store-1338/,N/A,Mo-Su 10:00-22:00,2101 Calumet Avenue,41.487323,-87.050174,100,way:1099747547
0.84,Bangkok Thai & Sushi,Restaurant,+12194658810,https://bangkokthaisushi.com,N/A,Tu-Su 12:00-21:00,"2103 Calumet Avenue, Valparaiso",41.487689,-87.050154,100,way:1099747542
0.86,Sherwin-Williams,Paint,+12194625471,"https://www.sherwin-williams.com/store-locator/paint-store/valparaiso/in/703909?storeNumber=21590&from=Valparaiso,%20IN%2046385,%20USAo",N/A,Mo-Fr 07:00-19:00; Sa 08:00-17:00; Su 10:00-16:00,"2105 North Calumet Avenue, Valparaiso",41.488110,-87.049941,100,node:8948735166
0.86,McDonald's,Fast Food,+12194627278,https://www.mcdonalds.com/us/en-us/location/1420.html,N/A,Mo-Su 05:00-23:00,"2002 Calumet Avenue, Valparaiso",41.486567,-87.049618,100,way:955146126
0.87,Blue Sky Financial Partners,Financial Advisor,+12195489370,https://financialflightplan.com/,info@financialflightplan.com,Mo-Th 09:00-17:00; Fr 09:00-15:00,"2400 Cumberland Drive, Valparaiso",41.490092,-87.050605,100,node:13247532351
0.88,Aaron's,Furniture,+12194628143,https://locations.aarons.com/us/in/valparaiso/2004-calumet-ave,N/A,Mo-Th 10:00-19:00; Fr 10:00-20:00; Sa 10:00-18:00; Su 12:00-17:00,"2004 Calumet Avenue, Valparaiso",41.486954,-87.049377,100,way:1098424727
0.88,Henze's Bakery,Bakery,+12194641511,https://henzesbakery.com/,N/A,Tu-Su 05:00-13:00,"2105 Calumet Avenue, Valparaiso",41.488116,-87.049590,100,node:8691826935
0.88,Goodwill,Charity,+12195481314,https://www.goodwill.org/location/?store=a24dfd57-458a-e111-8dde-005056934050%20%20,N/A,Mo-Th 09:00-19:00; Fr 09:00-20:00; Sa 09:00-18:00; Su 12:00-17:00,"2109 Calumet Avenue, Valparaiso",41.488779,-87.049777,100,way:458148069
0.89,Little Free Library,Public Bookcase,N/A,N/A,N/A,N/A,"41.498247, -87.064026",41.498247,-87.064026,0,node:11098785805
0.90,Musical Instruments,Musical Instrument,N/A,N/A,N/A,N/A,"41.498368, -87.064108",41.498368,-87.064108,0,node:11098784513
0.90,MyEyeDr.,Optician,N/A,N/A,N/A,N/A,"41.487949, -87.049037",41.487949,-87.049037,0,node:11280062409
0.92,Chase,Atm,N/A,https://locator.chase.com/in/valparaiso/2301-n-calumet-ave,N/A,24/7,2301 Calumet Avenue,41.489776,-87.049272,75,node:8762198228
0.93,Chase,Bank,+12194659700,https://locator.chase.com/in/valparaiso/2301-n-calumet-ave,N/A,Mo-Fr 09:00-17:00; Sa 09:00-14:00; Su closed,"2301 Calumet Avenue, Valparaiso",41.489604,-87.049101,100,relation:14644640
0.93,Associated Pediatricians,Doctors,+12194620555,https://www.associatedpediatricians.com,N/A,"Mo, Th, Fr 08:00-17:00; Tu, We 08:00-20:00; Sa 08:00-12:00","1101 Glendale Boulevard, Valparaiso",41.486504,-87.048294,100,node:8790003523
0.94,CSI Payments Processing,Company,+12194644864,https://www.csiweb.com/,N/A,N/A,"2401 Calumet Avenue, Valparaiso",41.490274,-87.049115,75,node:12269725603
0.95,Schultz Floral Shop,Florist,+12194643588,https://www.schultzfloralshop.com/,N/A,Mo-Fr 09:00-17:00; Sa 09:00-12:00,2204 Calumet Avenue,41.488738,-87.048402,100,way:1098424714
0.97,"Northwest Medical Group, Primary Care and Urgent Care",Clinic,+12195483843,https://www.nwmedicalgroup.com/our-locations/northwest-health-urgent-care-valparaiso-3245,N/A,N/A,"2505 Calumet Avenue, Valparaiso",41.491510,-87.049354,75,way:1462598228
0.99,Drive & Shine,Car Wash,+12193567788,https://driveandshine.com/valparaiso-3/,N/A,Mo-Sa 07:30-20:00; Su 08:30-19:00,"2501 Calumet Avenue, Valparaiso",41.490932,-87.048546,100,node:12269725602
0.99,Family Express,Fuel,N/A,https://www.familyexpress.com/locations?store_id=2,N/A,Mo-Su 05:00-23:00,"2306 Calumet Avenue, Valparaiso",41.489587,-87.047909,75,way:458148071
