distance_miles,name,business_type,phone,website,email,opening_hours,location,latitude,longitude,quality_score,source
0.52,Brown Tire,shop:tyres,+12194623109,https://www.browntire.com/,N/A,Mo-Fr 07:30-17:00; Sa 07:30-13:00,"2404 Calumet Avenue, Valparaiso, IN, 46383",41.490393,-87.047353,7,node:8939566064
0.52,AutoZone,shop:car_parts,+12194655980,https://www.autozone.com/locations/in/valparaiso.html,N/A,Mo-Sa 07:30-22:00; Su 08:00-21:00,"1010 Calumet Avenue, Valparaiso, IN, 46383",41.477797,-87.054863,7,way:1180114822
0.55,Strategic Navigators Inc,office:accountant,N/A,https://www.stratnavacct.com,N/A,N/A,"2500 Calumet Avenue, Valparaiso, IN, 46383",41.490693,-87.047001,4,node:12269725902
0.55,Drive & Shine,shop:car_repair,+12193567788,https://driveandshine.com/valparaiso-3/,N/A,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 09:00-16:00,"2501 Calumet Avenue, Valparaiso, IN, 46383",41.491633,-87.048177,7,node:12269725901
0.55,Little Caesars,amenity:fast_food,+12194775000,"https://littlecaesars.com/en-us/order/pickup/stores/search/Valparaiso,%20IN%2046383/",N/A,Mo-Su 11:00-22:00,"2500 Calumet Avenue, Valparaiso, IN, 46383",41.490841,-87.047005,7,node:12269726102
0.57,Teriyaki Madness,amenity:fast_food,+12195105218,https://teriyakimadness.com/locations/in-valparaiso/,N/A,Mo-Sa 11:00-21:00; Su 11:00-20:00,"2502 Calumet Avenue, Valparaiso, IN, 46383",41.491187,-87.047111,7,node:12269725702
0.57,Nékter Juice Bar,amenity:fast_food,+12192428016,https://locations.nekterjuicebar.com/ll/us/in/valparaiso/2502-calument-ave/,N/A,Mo-Sa 07:00-18:45; Su 08:00-18:45,"2502 Calumet Avenue, Valparaiso, IN, 46383",41.491180,-87.047009,7,node:12269725801
0.57,Busy Bee Auto Repair,shop:car_repair,+12194760899,https://none,info@busybeeautorepair.com,Mo-Sa 08:00-18:00; Su 11:00-16:00,"1001 Calumet Avenue, Valparaiso, IN, 46383",41.477112,-87.056122,7,node:9458236831
0.58,Reason's Sinclair Service (historical),amenity:fuel,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.477094,-87.056295,0,node:2955372592
0.58,Family Express,shop:convenience,N/A,N/A,N/A,N/A,"2605 Calumet Avenue, Valparaiso, IN, 46383",41.492008,-87.048010,2,way:1099711884
0.59,Midas,shop:car_repair,+12192630980,https://www.midas.com/store/in/valparaiso/2508-calumet-street-46383?shopnum=2138,N/A,Mo-Fr 07:30-18:00; Sa 07:30-16:00,"2508 Calumet Avenue, Valparaiso, IN, 46383",41.491521,-87.046926,7,way:1098424700
0.59,Valparasio Water Office,office:government,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.477150,-87.058150,0,way:947882379
0.60,Family Express,amenity:fuel,N/A,https://www.familyexpress.com/locations?store_id=70,N/A,24/7,"2605 Calumet Avenue, Valparaiso, IN, 46383",41.492160,-87.047661,5,way:1099711885
0.62,Lerner & Rowe,office:lawyer,+12199990122,https://lernerandrowe.com/indiana/valparaiso/,N/A,N/A,"2612 Calumet Avenue, Valparaiso, IN, 46383",41.491895,-87.046747,6,node:12269725601
0.62,Velero's,amenity:restaurant,+12196153915,https://velerosmexicanfood.com,N/A,"Tu-Th, Su 11:00-21:00; Fr, Sa 11:00-22:00","902 Calumet Avenue, Valparaiso, IN, 46383",41.476459,-87.056016,7,node:9998390551
0.64,C&C Auto Repair,shop:car_repair,+12194642227,https://www.ccautorepairvalpo.com/,ccautorepairvalpo@gmail.com,Mo-Fr 08:30-17:00,"204 Billings Street, Valparaiso, IN",41.476427,-87.058035,5,node:11052008113
0.66,Thorgen Tool & Molding Co,office:company,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.477812,-87.046953,0,node:10955936224
0.67,Teachers Credit Union,amenity:bank,+12194624621,https://www.tcunet.com/About/Locations-ATMs/Valparaiso-Roosevelt-Road,N/A,Mo-Fr 09:00-17:00; Sa 09:00-13:00,"2600 Roosevelt Road, Valparaiso, IN, 46383",41.492209,-87.045677,7,way:458148072
0.67,Starbucks,amenity:cafe,+12194629153,https://www.starbucks.com/store-locator/store/1017155/valparaiso-calumet-vale-park-rd-2711-calumet-avenue-valparaiso-in-463832646-us,N/A,Mo-Fr 04:30-21:00; Sa 05:00-23:00; Su 05:30-20:00,"2711 Calumet Avenue, Valparaiso, IN, 46383",41.493109,-87.047003,7,way:1092758535
0.70,1st Source Bank,amenity:bank,+12194648800,https://www.1stsource.com/locations/valparaiso-north-banking-center,N/A,Mo-Fr 07:00-19:00; Sa 09:00-13:00,"2700 Calumet Avenue, Valparaiso, IN, 46383",41.493006,-87.045823,7,way:1092705406
0.71,Chipotle,amenity:fast_food,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.493553,-87.046621,0,node:13415715143
0.72,Hair Sculptors,shop:hairdresser,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.477809,-87.045235,0,node:10955936225
0.73,7 Brew,amenity:cafe,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.493889,-87.046393,0,node:13415715144
0.75,Take 5 Car Wash,shop:car_repair,+12192342017,https://www.take5oilchange.com/locations/in/valparaiso-494/,N/A,Mo-Sa 07:00-21:00; Su 08:00-18:00,"1303 Vale Park Road, Valparaiso, IN, 46383",41.492838,-87.044409,7,way:458148073
0.77,Fazoli's,amenity:fast_food,+12195130001,https://locations.fazolis.com/in/valparaiso/2809-calumet-ave-.html,N/A,Mo-Su 10:30-22:00,"2809 Calumet Avenue, Valparaiso, IN, 46383",41.494398,-87.046077,7,way:1092758542
0.78,Strack & Van Til,shop:supermarket,+12194643571,https://strackandvantil.com/locations/valparaiso-calumet/,N/A,Mo-Su 06:00-23:00,"2800 Calumet Avenue, Valparaiso, IN, 46383",41.493464,-87.044405,7,way:1092705423
0.80,Take 5 Oil Change,shop:car_repair,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.494013,-87.044591,0,way:1092705426
0.82,The UPS Store,shop:copyshop,+12194644245,https://locations.theupsstore.com/in/valparaiso/1101-cumberland-crossing-dr,print2049@gmail.com,Mo-Fr 08:00-18:30; Sa 09:00-15:00; Su 10:00-15:00,"1101 Cumberland Crossing Drive, Valparaiso, IN, 46383",41.495877,-87.047292,7,node:8703269336
0.82,Marathon Health,amenity:clinic,+12194404835,https://www.marathon-health.com/locations/,N/A,"Mo-Fr 08:00-12:00, 13:00-17:00","1105 Cumberland Crossing Drive, Valparaiso, IN, 46383",41.495839,-87.047189,7,node:9173416691
0.83,Growing Smiles,amenity:dentist,+12192866148,https://www.growingsmilesvalpo.com/,office@growingsmilesvalpo.com,N/A,"1111 Cumberland Crossing Drive, Valparaiso, IN, 46383",41.495802,-87.047074,6,node:9173454448
0.83,Kin Khao Thai & Sushi Bar,amenity:restaurant,+12192998268,https://www.kinkhaothaiandsushi.com,N/A,Mo-Sa 11:00-21:00,"Valparaiso, IN",41.475288,-87.046085,5,node:8731197927
0.83,Burger King,amenity:fast_food,+12194650542,https://www.bk.com/store-locator/store/restaurant_1806,N/A,Mo-Sa 06:00-22:00; Su 07:00-22:00,"2921 Calumet Avenue, Valparaiso, IN, 46383",41.495295,-87.045646,7,way:458148076
0.88,DQ Grill & Chill,amenity:fast_food,+12194644455,https://www.dairyqueen.com/en-us/locations/in/valparaiso/3029-n-calumet-ave/975/,N/A,Mo-Su 10:00-22:00,"3029 Calumet Avenue, Valparaiso, IN, 46383",41.495822,-87.045232,7,way:458148077
0.89,Glass Doctor,shop:glaziery,+12194621149,https://glassdoctor.com/valparaiso,N/A,N/A,"608 Roosevelt Road, Valparaiso, IN",41.474219,-87.046168,4,node:8942019778
0.90,Ken Pro Glass,shop:glaziery,+12194771911,http://kenproglass.com,N/A,N/A,"610 Roosevelt Road, Valparaiso, IN",41.474358,-87.045370,4,node:8942004073
0.91,Subway,amenity:fast_food,+12194629666,https://restaurants.subway.com/united-states/in/valparaiso/3004-calumet-ave-n,N/A,"Mo, We-Su 08:30-21:30; Tu 10:00-16:00","3004 North Calumet Avenue, Valparaiso, IN, 46383",41.495557,-87.043806,7,node:11023663967
0.91,Ultimate Nutrition,shop:tea,+12197075483,N/A,N/A,N/A,"3008 North Calumet Avenue, Valparaiso, IN",41.495559,-87.043687,2,node:11023677612
0.91,YMCA - Valparaiso,leisure:sports_centre,+12194624185,https://www.valpoymca.org/,N/A,Mo-Fr 05:00-22:00; Sa 07:00-18:00; Su 11:00-18:00,"1201 Cumberland Crossing Drive, Valparaiso, IN, 46383",41.496982,-87.046493,7,way:458148079
0.91,H&R Block,office:tax_advisor,+12194650579,https://www.hrblock.com/local-tax-offices/indiana/valparaiso/northview-plaza/15227/,N/A,N/A,"3010 North Calumet Avenue, Valparaiso, IN, 46383",41.495553,-87.043565,6,node:11023659770
0.92,CosmoProf,shop:hairdresser_supply,+12194656572,https://stores.cosmoprofbeauty.com/in/valparaiso/salon-supply-valparaiso-in-6919.html,N/A,Mo-Fr 08:00-18:00; Sa 08:00-16:00; Su 12:00-16:00,"3014 North Calumet Avenue, Valparaiso, IN, 46383",41.495551,-87.043441,7,node:11023576855
0.92,Pesto's,amenity:restaurant,+12194620993,https://pestos.net,admin@pestos.net,"Mo-Th, Su 11:00-20:00; Fr, Sa 11:00-21:00","3123 Calumet Avenue, Valparaiso, IN, 46383",41.496424,-87.044869,7,way:1092757182
0.92,El Amigo,amenity:fast_food,N/A,N/A,N/A,N/A,"3032 Calumet Avenue, Valparaiso, IN, 46383",41.496004,-87.044055,2,way:1092705436
0.93,Anytime Fitness,leisure:fitness_centre,+12192428799,https://www.anytimefitness.com/gyms/3430/valparaiso-in-46383/,N/A,24/7,"3020 North Calumet Avenue, Valparaiso, IN, 46383",41.495627,-87.043203,7,node:11023674714
0.93,Valparaiso Parks and Recreation Department Administrative Office,office:government,+12194625144,https://www.valpoparks.org/279/Administration-Office,N/A,Mo-Fr 08:00-17:00,"3210 North Campbell Street, Valparaiso, IN",41.497118,-87.063615,5,node:11098753961
0.94,Jade Garden,amenity:restaurant,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.495679,-87.043120,0,node:4326350808
0.94,Community Garden,shop:farm,N/A,https://valpoparks.org/622/Community-Garden,N/A,N/A,"Valparaiso, IN",41.497400,-87.063257,2,node:11098784320
0.95,Jimmy John's,amenity:fast_food,+12194775511,https://locations.jimmyjohns.com/in/valparaiso/sandwiches-1118.html,N/A,Mo-Su 10:00-22:00,"3125 Calumet Avenue, Valparaiso, IN, 46383",41.496678,-87.044501,7,node:9322938306
0.96,Serranos Mexican Grill,amenity:restaurant,+12192866996,https://www.serranosmexicangrillin.com/,N/A,"Mo, We-Su 11:00-21:00","3125 Calumet Avenue, Valparaiso, IN, 46383",41.496802,-87.044404,7,node:9322940318
0.96,Coolwood Cleaners,shop:dry_cleaning,+12195311838,N/A,N/A,N/A,"3125 Calumet Avenue, Valparaiso, IN, 46383",41.496870,-87.044355,4,node:9322945340
0.97,Plato's Closet,shop:clothes,+12194651755,https://www.platoscloset.com/locations/valparaiso-in,N/A,Mo-Sa 10:00-21:00; Su 12:00-18:00,"3125 Calumet Avenue, Valparaiso, IN, 46383",41.496951,-87.044303,7,node:9322861767
0.98,Phillips Ace Hardware,shop:doityourself,+12194648687,https://www.acehardware.com/store-details/05088,N/A,Mo-Fr 08:00-18:00; Sa 08:00-17:00; Su 09:00-16:00,"3100 Calumet Avenue, Valparaiso, IN, 46383-2611",41.496500,-87.042970,7,way:458148078
1.02,Kennedy Mazda,shop:car,+18445682103,https://www.kennedymazda.com/,N/A,Mo-Th 09:00-20:00; Fr 09:00-18:00; Sa 09:00-17:00,"3200 Calumet Avenue, Valparaiso, IN, 46383",41.497067,-87.042807,7,way:1092705451
1.02,Musical Instruments,shop:musical_instrument,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.498368,-87.064108,0,node:11098784513
1.03,Kennedy Mazda Service Center,shop:car_repair,+18777240957,https://www.kennedymazda.com/,N/A,Mo-Fr 08:00-17:00,"3200 Calumet Avenue, Valparaiso, IN, 46383",41.497057,-87.042562,7,node:9416373448
1.05,Hera Salon,shop:beauty,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.477869,-87.037207,0,node:11127972300
1.10,Shoe's Pizzeria,amenity:restaurant,+12194767463,http://shoespizzeria.coml,N/A,Mo 09:00-16:00; Tu-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:30-20:00,"3300 North Calumet Avenue, Valparaiso, IN, 46383",41.498236,-87.042271,7,way:1092705459
1.13,Burgerhaus - Valparaiso,amenity:restaurant,N/A,https://visitburgerhaus.com/,N/A,N/A,"3304 Calumet Ave, Valparaiso, IN, 46383",41.498618,-87.042097,4,node:5567690621
1.14,Dunkin',amenity:fast_food,+12194650440,https://locations.dunkindonuts.com/en/in/valparaiso/3310-calumet-ave/301633,N/A,"Mo-Th, Su 05:00-21:00; Fr, Sa 09:00-22:00","3310 Calumet Avenue, Valparaiso, IN, 46383",41.498797,-87.041966,7,node:4327359850
1.15,Chicago Street Theater,amenity:theatre,N/A,https://chicagostreet.org/,N/A,N/A,"154 West Chicago Street, Valparaiso, IN, 46383",41.469852,-87.062756,4,node:4584661691
1.17,Extra Mile Fitness,shop:sports,+12192863606,https://shop.extramilenwi.com/,N/A,Mo-Fr 10:00-18:00; Sa 10:00-17:00; Su 12:00-17:00,"3400 North Calumet Avenue, Valparaiso, IN, 46383",41.499107,-87.041744,7,way:1033285565
1.17,LiqGo!,shop:alcohol,+12192992263,https://www.liqgo.com,N/A,"Mo-Th 09:00-22:00; Fr, Sa 09:00-23:00; Sa 12:00-19:00","3400 North Calumet Avenue, Valparaiso, IN",41.499192,-87.041784,5,node:12593468772
1.19,Vanis,shop:beauty,+12194656414,https://www.vanis.net/locations,N/A,N/A,"1620 Country Club Road, Valparaiso, IN",41.499180,-87.041184,4,node:12593432966
1.19,The Stitchery Studio,craft:tailor,+12193125634,N/A,N/A,N/A,"18 Jefferson Street, Valparaiso, IN",41.468669,-87.060450,2,node:13121609127
1.19,DRG Designs,shop:hairdresser,+12194769159,N/A,N/A,N/A,"14 Jefferson Street, Valparaiso, IN",41.468676,-87.060504,2,node:13121596639
1.19,Bao's Pastry,craft:bakery,+12192998693,https://www.baopastry.com/,BaoPastry@outlook.com,Mo 10:00-19:00; Tu-Sa 07:00-19:00; Su 10:00-17:00,"12 Jefferson Street, Valparaiso, IN",41.468671,-87.060666,5,node:11430281472
1.19,Meditrina Market Cafe,amenity:restaurant,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.468663,-87.060752,0,way:387727797
1.20,Destination DeLaine,shop:massage,+12194626969,https://www.delainemd.com/,N/A,N/A,"1620 Country Club Road, Valparaiso, IN",41.499229,-87.041004,4,node:12593466769
1.20,Front Porch Music,shop:music,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.468040,-87.054271,0,way:1209188900
1.20,Super Submarine,amenity:restaurant,+12195957827,https://www.supersubinc.com/,N/A,Mo-Su 10:00-20:00,"23 Washington Street, Valparaiso, IN",41.468660,-87.061142,5,node:13121620548
1.20,Albano's Pasta Shop,amenity:restaurant,+12194620773,http://albanospastashop.com,N/A,Tu-Sa 11:30-20:00,"22 Washington Street, Valparaiso, IN, 46383",41.468599,-87.060854,7,node:8770518464
1.20,Merit,leisure:fitness_centre,N/A,https://www.meritpilates.com/,N/A,N/A,"51, Valparaiso, IN",41.468660,-87.061380,2,node:13121600890
1.20,21 North Eyecare,shop:optician,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.468600,-87.061141,0,node:13121615580
1.21,Silcott's Shoes,shop:shoes,N/A,N/A,N/A,N/A,"18 Washington Street, Valparaiso, IN",41.468499,-87.060817,0,node:13121615582
1.21,JJ's Garage,shop:car_repair,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.468098,-87.051177,0,node:10290350127
1.21,Pretty Little Parties,shop:party,N/A,N/A,N/A,N/A,"16 Washington Street, Valparaiso, IN",41.468420,-87.060828,0,node:13121579793
1.21,La Cabaña,amenity:restaurant,+12195105587,https://lacabanarestaurants.com/locations.html,N/A,"Mo-Th 11:00-22:00; Fr, Sa 11:00-22:30; Su 11:00-21:00","807 East Lincolnway, Valparaiso, IN, 46383",41.468102,-87.050550,7,way:743712945
1.21,Vincent's Hair Design,shop:hairdresser,N/A,N/A,N/A,N/A,"12 Washington Street, Valparaiso, IN",41.468356,-87.060826,0,node:13121593381
1.22,Luke,amenity:fuel,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.468204,-87.049549,0,way:1340623349
1.22,Papa John's,amenity:fast_food,+12195310025,https://www.papajohns.com/order/stores-near-me,N/A,Mo-Su 10:00-23:00,"123 East Lincolnway, Valparaiso, IN, 46383",41.467952,-87.058662,7,node:4680520791
1.22,Don Quijote,amenity:restaurant,+12194627976,https://donquijotevalpo.com/,N/A,Mo-Th 17:00-21:00; Fr 17:00-22:00; Sa 14:00-22:00,"119 East Lincolnway, Valparaiso, IN",41.467961,-87.058818,5,node:12824692274
1.22,Washington Street Taproot,amenity:bar,N/A,N/A,N/A,"We, Th 15:00-22:00; Fr, Sa 12:00-22:00; Su 12:00-18:00","11 Washington Street, Valparaiso, IN",41.468271,-87.061154,1,node:13121576792
1.23,Classic Cuts Barbershop,shop:hairdresser,N/A,N/A,N/A,N/A,"9 Washington Street, Valparaiso, IN",41.468243,-87.061156,0,node:13121616831
1.23,DLH Certified Public Accountants,office:accountant,N/A,N/A,N/A,N/A,"Valparaiso, IN",41.467615,-87.053507,0,node:10693395473
1.23,Doane Law,office:lawyer,N/A,N/A,N/A,N/A,"8 Washington Street, Valparaiso, IN",41.468158,-87.060791,0,node:13121623243
